id,image_path,split,SMILES,canonical_smiles,Tg,Tg_mask,Tg_norm,FFV,FFV_mask,FFV_norm,Tc,Tc_mask,Tc_norm,Density,Density_mask,Density_norm,Rg,Rg_mask,Rg_norm
87817,render\train\87817.png,train,*CC(*)c1ccccc1C(=O)OCCCCCC,*CC(*)c1ccccc1C(=O)OCCCCCC,,0,0.0,0.37464529,1,0.2627765025522118,0.2056666666666666,1,-0.5023373200473866,,0,0.0,,0,0.0
106919,render\train\106919.png,train,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,,0,0.0,0.3704102,1,0.117077763268404,,0,0.0,,0,0.0,,0,0.0
388772,render\train\388772.png,train,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,,0,0.0,0.37885964,1,0.407761728816757,,0,0.0,,0,0.0,,0,0.0
519416,render\train\519416.png,train,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,,0,0.0,0.3873239,1,0.6989555431088651,,0,0.0,,0,0.0,,0,0.0
539187,render\train\539187.png,train,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,,0,0.0,0.35547017,1,-0.3969003424772296,,0,0.0,,0,0.0,,0,0.0
950661,render\train\950661.png,train,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,,0,0.0,0.33909279,1,-0.9603272398446644,,0,0.0,,0,0.0,,0,0.0
1012066,render\train\1012066.png,train,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,,0,0.0,0.3476159,1,-0.6671088237597131,,0,0.0,,0,0.0,,0,0.0
1022104,render\train\1022104.png,train,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,,0,0.0,0.37754464,1,0.3625221135646115,,0,0.0,,0,0.0,,0,0.0
1722264,render\train\1722264.png,train,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,,0,0.0,0.35917558,1,-0.2694240514114866,,0,0.0,,0,0.0,,0,0.0
2265305,render\train\2265305.png,train,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,,0,0.0,0.341878125,1,-0.8645040582869962,,0,0.0,,0,0.0,,0,0.0
