id,image_path,split,SMILES,canonical_smiles,Tg,Tg_mask,Tg_norm,FFV,FFV_mask,FFV_norm,Tc,Tc_mask,Tc_norm,Density,Density_mask,Density_norm,Rg,Rg_mask,Rg_norm
87817,render_merged\train\87817.png,train,*CC(*)c1ccccc1C(=O)OCCCCCC,*CC(*)c1ccccc1C(=O)OCCCCCC,,0,0,0.37464529,1,0.262776503,0.205666667,1,-0.50233732,,0,0,,0,0
106919,render_merged\train\106919.png,train,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,*Nc1ccc([C@H](CCC)c2ccc(C3(c4ccc([C@@H](CCC)c5ccc(N*)cc5)cc4)CCC(CCCCC)CC3)cc2)cc1,,0,0,0.3704102,1,0.117077763,,0,0,,0,0,,0,0
388772,render_merged\train\388772.png,train,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,*Oc1ccc(S(=O)(=O)c2ccc(Oc3ccc(C4(c5ccc(Oc6ccc(S(=O)(=O)c7ccc(Oc8ccc(C=C9CCCC(=Cc%10ccc(*)cc%10)C9=O)cc8)cc7)cc6)cc5)CCCCC4)cc3)cc2)cc1,,0,0,0.37885964,1,0.407761729,,0,0,,0,0,,0,0
519416,render_merged\train\519416.png,train,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,*Nc1ccc(-c2c(-c3ccc(C)cc3)c(-c3ccc(C)cc3)c(N*)c(-c3ccc(C)cc3)c2-c2ccc(C)cc2)cc1,,0,0,0.3873239,1,0.698955543,,0,0,,0,0,,0,0
539187,render_merged\train\539187.png,train,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,*Oc1ccc(OC(=O)c2cc(OCCCCCCCCCOCC3CCCN3c3ccc([N+](=O)[O-])cc3)c(C(*)=O)cc2OCCCCCCCCCOCC2CCCN2c2ccc([N+](=O)[O-])cc2)cc1,,0,0,0.35547017,1,-0.396900342,,0,0,,0,0,,0,0
950661,render_merged\train\950661.png,train,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,*OC(=O)CCCCCCCCC(=O)OC1COC2C(*)COC12,,0,0,0.33909279,1,-0.96032724,,0,0,,0,0,,0,0
1012066,render_merged\train\1012066.png,train,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,*Nc1ccc([C@H]2[C@@H]3C[C@H]4C[C@@H](C3)C[C@@H]2C4)cc1N*,,0,0,0.3476159,1,-0.667108824,,0,0,,0,0,,0,0
1022104,render_merged\train\1022104.png,train,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,*C(=O)Nc1ccc(Oc2ccc(Oc3ccc(NC(=O)c4ccc5c(c4)C(=O)N(c4ccc(Oc6ccc(C7(c8ccc(Oc9ccc(N%10C(=O)c%11ccc(*)cc%11C%10=O)cc9)cc8)CC8CC7C7CCCC87)cc6)cc4)C5=O)cc3)c(C(C)(C)C)c2)cc1,,0,0,0.37754464,1,0.362522114,,0,0,,0,0,,0,0
1722264,render_merged\train\1722264.png,train,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,*CC(*)(C)C(=O)OCCCCCCCCCOc1ccc2cc(C(=O)Oc3ccccc3)ccc2c1,,0,0,0.35917558,1,-0.269424051,,0,0,,0,0,,0,0
2265305,render_merged\train\2265305.png,train,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,*Nc1ccc(-c2ccc(-c3ccc(N*)cc3)cc2)cc1,,0,0,0.341878125,1,-0.864504058,,0,0,,0,0,,0,0
2986007,render_merged\train\2986007.png,train,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,*c1ccc(-c2ccc3c(c2)C(CCCCCCC#N)(CCCCCCC#N)c2cc(*)ccc2-3)cc1,,0,0,0.40239665,1,1.217499582,0.487,1,2.275679358,0.901122805,1,-0.577071358,28.6824407,1,2.660796626
3013292,render_merged\train\3013292.png,train,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,*CC(*)c1ccc(C(=O)O)c(C(=O)O)c1,,0,0,,0,0,0.171,1,-0.844652171,1.184354013,1,1.360358338,13.53424751,1,-0.626115111
3053950,render_merged\train\3053950.png,train,*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,*c1cccc(N2C(=O)c3ccc(Oc4ccc5ccc(Oc6ccc7c(c6)C(=O)N(*)C7=O)cc5c4)cc3C2=O)c1,,0,0,0.36481552,1,-0.0753946099,,0,0,,0,0,,0,0
3128201,render_merged\train\3128201.png,train,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,*C(=O)c1ccc2c(c1)C(=O)N(c1ccc(C(=O)c3ccc(Cc4ccc(C(=O)c5ccc(N6C(=O)c7ccc(*)cc7C6=O)cc5)cc4)cc3)cc1)C2=O,,0,0,0.36956078,1,0.08785538,,0,0,,0,0,,0,0
3139746,render_merged\train\3139746.png,train,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,*CCOCCOC(=O)c1ccc(C(=O)O*)cc1,,0,0,0.3314918,1,-1.221822193,,0,0,,0,0,,0,0
3254580,render_merged\train\3254580.png,train,*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,*Nc1ccc(CCc2ccc(N*)c(C)c2)c(C)c1,,0,0,0.34991627,1,-0.587969771,,0,0,,0,0,,0,0
4600132,render_merged\train\4600132.png,train,*Nc1ccc(-c2ccc(N*)cc2)cc1,*Nc1ccc(-c2ccc(N*)cc2)cc1,,0,0,0.33687015,1,-1.036792166,,0,0,,0,0,,0,0
4658296,render_merged\train\4658296.png,train,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,*Nc1ccc(C(c2ccc(NC(=O)c3ccc(C(*)=O)cc3)cc2)(P2(=O)Oc3ccccc3-c3ccccc32)P2(=O)Oc3ccccc3-c3ccccc32)cc1,,0,0,0.36326495,1,-0.128738481,,0,0,,0,0,,0,0
4834929,render_merged\train\4834929.png,train,*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,*Nc1ccc2c(c1)[C@H]1CC[C@@H]2c2cc(N*)ccc21,,0,0,0.36594162,1,-0.0366536739,,0,0,,0,0,,0,0
5118841,render_merged\train\5118841.png,train,*C(=O)c1ccc(N(*)CCCCCCCC)cc1,*C(=O)c1ccc(N(*)CCCCCCCC)cc1,,0,0,0.40101187,1,1.169859343,,0,0,,0,0,,0,0
5350166,render_merged\train\5350166.png,train,*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,*CC(C)(COC(=O)NCCCCCCNC(=O)O*)C(=O)O,,0,0,0.31898697,1,-1.652022724,,0,0,,0,0,,0,0
5650517,render_merged\train\5650517.png,train,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,*Oc1ccc(CC(NC(=O)CCc2ccc(OC(=O)CCCC(*)=O)cc2)C(=O)OCC)cc1,,0,0,0.33573247,1,-1.075931486,,0,0,,0,0,,0,0
5661484,render_merged\train\5661484.png,train,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,*c1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(-c5nc(-c6ccccn6)nnc5*)cc4)cc3)cc2)cc1,,0,0,0.38715626,1,0.693188266,,0,0,,0,0,,0,0
