property,augmentation,mean,std,max
Density,flip_horizontal,0.013490757909559059,0.009319750977790356,0.040802794588388536
Density,flip_vertical,0.026596171641813104,0.032905611220015236,0.17038988275103417
Density,rotate_180,0.029356127282785027,0.024576155630640095,0.10277936496905093
Density,rotate_270,0.05210099019603766,0.04346632835691096,0.18333580559073492
Density,rotate_90,0.048390963831792505,0.0388442263749049,0.15784588645581032
FFV,flip_horizontal,0.0015268397926596715,0.0010298849501776226,0.0033948055842549785
FFV,flip_vertical,0.006429563365838331,0.005139488393343051,0.024496018323890312
FFV,rotate_180,0.00618430180339295,0.005129476189550778,0.026092543582141747
FFV,rotate_270,0.010199384542546108,0.008536638375412898,0.03490701567131693
FFV,rotate_90,0.00985987395328861,0.007870593068318455,0.03096669395486079
Rg,flip_horizontal,0.3951238555356209,0.32168010676022285,1.2368778578919937
Rg,flip_vertical,0.9158382644955604,0.6949304768778158,2.655234347539377
Rg,rotate_180,0.8773840374598152,0.6929715534288117,2.4866286299452263
Rg,rotate_270,2.7129726487542505,2.0209986442951453,8.643791722344261
Rg,rotate_90,2.6616008124664097,2.0234745944251835,7.52287553223438
Tc,flip_horizontal,0.005660230716316247,0.0046974010593486765,0.018193502276046103
Tc,flip_vertical,0.020548435677373782,0.018199255975774528,0.07538613692325669
Tc,rotate_180,0.02031019867119564,0.020070204189299473,0.09313393701822584
Tc,rotate_270,0.04394747182817409,0.02969063397776024,0.11401849164075117
Tc,rotate_90,0.036019706280272505,0.022708013177769302,0.08600161153190494
Tg,flip_horizontal,9.822006287099098,7.598503703808119,25.201838845871578
Tg,flip_vertical,19.39101010243937,18.75571604077007,64.30512277014864
Tg,rotate_180,20.190150279639706,22.2965750727355,86.75771708145305
Tg,rotate_270,27.894470990804546,22.38084519270049,76.55846564037353
Tg,rotate_90,28.34018710188533,21.561963393810636,85.76961614822198
