trial,learning_rate,weight_decay,dropout,batch_size,val_loss,val_mae
0,5.6115164153345e-05,0.006351221010640704,0.2,64,0.09322288857194884,0.34632437825202944
1,0.00015930522616241006,0.0006796578090758161,0.3,16,0.09356976953227963,0.33692266047000885
2,4.059611610484306e-05,0.0001256104370001356,0.4,64,0.1019100399109824,0.36503908038139343
3,8.168455894760161e-05,0.0013826232179369874,0.4,32,0.09431318200209685,0.33668789863586424
4,1.3492834268013232e-05,0.006245139574743076,0.2,32,0.11551443657331299,0.3795031368732452
5,1.7541893487450798e-05,9.565499215943819e-05,0.3,16,0.10968817874327698,0.36939687132835386
6,0.00012399967836846095,5.4880470007660465e-06,0.2,64,0.09047509787668442,0.3289692461490631
7,1.5030900645056805e-05,6.0803901902966035e-06,0.4,32,0.11328973193048385,0.3774635374546051
8,3.6464395589807184e-05,0.00014817820606039095,0.3,16,0.10296401760615079,0.36104121804237366
9,1.0257563974185649e-05,0.0018274508859816032,0.4,32,0.1215320149469271,0.38648225665092467
10,0.0008275789131379278,1.0567900894501647e-06,0.2,64,0.0924142770597647,0.3318952709436417
11,0.000841321497699121,1.4285676124002436e-06,0.2,64,0.0878757054050421,0.31641054451465606
12,0.0007832921114568409,5.9466401528731105e-06,0.2,64,0.09182542549638913,0.33317060172557833
13,0.0002677415876552449,1.3272338996975016e-06,0.2,64,0.0897685850745645,0.32786772549152376
14,0.00039029733169470583,1.0426368296601534e-06,0.2,64,0.1267340403162585,0.39820024371147156
15,0.00038277068071634966,1.9367283524941703e-05,0.2,64,0.08722371582327218,0.3203546077013016
16,0.0004411986001635278,4.4818391288943924e-05,0.2,64,0.0876381055869419,0.3199897050857544
17,0.0002801663741716767,2.6528592620230396e-05,0.2,64,0.08508997863351271,0.314081209897995
